sentence,max_distance,hobby_relatability_score,job_relatability_score
The programmer who enjoys reading.,25,4,8
The teacher who enjoys gaming.,50,3,1
A nurse who enjoys photography.,25,7,10
The scientist who enjoys painting.,100,1,6
A engineer who enjoys hiking.,25,6,2
The doctor who enjoys hiking.,50,6,3
The doctor who enjoys photography.,25,7,3
A teacher who enjoys writing.,50,8,1
The nurse who enjoys cooking.,100,5,10
A artist who enjoys writing.,50,8,4
A chef who enjoys photography.,100,7,5
The programmer who enjoys reading.,25,4,8
A chef who enjoys reading.,25,4,5
A chef who enjoys reading.,50,4,5
A chef who enjoys cooking.,100,5,5
The scientist who enjoys writing.,50,8,6
The artist who enjoys cooking.,25,5,4
A writer who enjoys reading.,50,4,7
A writer who enjoys gaming.,50,3,7
A programmer who enjoys gaming.,25,3,8
The chef who enjoys gaming.,50,3,5
The programmer who enjoys hiking.,25,6,8
A chef who enjoys hiking.,100,6,5
A programmer who enjoys hiking.,100,6,8
The chef who enjoys hiking.,25,6,5
A artist who enjoys cooking.,50,5,4
A writer who enjoys gaming.,25,3,7
A artist who enjoys gardening.,50,9,4
The scientist who enjoys cycling.,100,2,6
A writer who enjoys gaming.,50,3,7
A programmer who enjoys writing.,25,8,8
A engineer who enjoys cooking.,25,5,2
The designer who enjoys photography.,100,7,9
The writer who enjoys photography.,100,7,7
A programmer who enjoys reading.,100,4,8
The teacher who enjoys reading.,100,4,1
A engineer who enjoys reading.,25,4,2
The programmer who enjoys cooking.,25,5,8
The nurse who enjoys photography.,100,7,10
The engineer who enjoys writing.,50,8,2
A engineer who enjoys hiking.,50,6,2
The programmer who enjoys hiking.,100,6,8
The designer who enjoys gaming.,25,3,9
A designer who enjoys hiking.,100,6,9
The nurse who enjoys photography.,25,7,10
The designer who enjoys swimming.,100,10,9
The writer who enjoys cooking.,50,5,7
The nurse who enjoys hiking.,25,6,10
A designer who enjoys hiking.,50,6,9
A engineer who enjoys gardening.,25,9,2
The programmer who enjoys reading.,100,4,8
A nurse who enjoys hiking.,25,6,10
The teacher who enjoys gaming.,25,3,1
A scientist who enjoys hiking.,25,6,6
The designer who enjoys cycling.,100,2,9
The teacher who enjoys gaming.,50,3,1
The artist who enjoys photography.,50,7,4
The engineer who enjoys cooking.,25,5,2
A scientist who enjoys cooking.,25,5,6
A writer who enjoys painting.,50,1,7
A nurse who enjoys hiking.,100,6,10
The doctor who enjoys swimming.,100,10,3
A nurse who enjoys gardening.,25,9,10
The nurse who enjoys cycling.,25,2,10
A writer who enjoys painting.,25,1,7
A chef who enjoys hiking.,25,6,5
A designer who enjoys painting.,100,1,9
The programmer who enjoys hiking.,50,6,8
A chef who enjoys swimming.,25,10,5
A doctor who enjoys writing.,25,8,3
A programmer who enjoys painting.,100,1,8
A scientist who enjoys cycling.,25,2,6
The writer who enjoys cooking.,25,5,7
The artist who enjoys swimming.,100,10,4
A programmer who enjoys cooking.,100,5,8
The engineer who enjoys writing.,100,8,2
The chef who enjoys gardening.,25,9,5
The programmer who enjoys hiking.,100,6,8
The programmer who enjoys photography.,100,7,8
A programmer who enjoys writing.,50,8,8
A engineer who enjoys writing.,50,8,2
The chef who enjoys writing.,25,8,5
A nurse who enjoys swimming.,100,10,10
The programmer who enjoys hiking.,25,6,8
The engineer who enjoys cycling.,25,2,2
A programmer who enjoys hiking.,25,6,8
A designer who enjoys gardening.,25,9,9
A artist who enjoys cycling.,25,2,4
A teacher who enjoys hiking.,50,6,1
The nurse who enjoys swimming.,50,10,10
The scientist who enjoys cooking.,50,5,6
The writer who enjoys gardening.,25,9,7
A designer who enjoys hiking.,100,6,9
The doctor who enjoys cycling.,100,2,3
A doctor who enjoys reading.,100,4,3
The scientist who enjoys cooking.,25,5,6
A scientist who enjoys swimming.,50,10,6
The engineer who enjoys photography.,50,7,2
The designer who enjoys reading.,100,4,9
A artist who enjoys writing.,25,8,4
A engineer who enjoys painting.,25,1,2
The designer who enjoys painting.,50,1,9
The nurse who enjoys writing.,100,8,10
The engineer who enjoys writing.,25,8,2
A programmer who enjoys painting.,50,1,8
A artist who enjoys painting.,25,1,4
A writer who enjoys reading.,25,4,7
A nurse who enjoys reading.,25,4,10
The programmer who enjoys reading.,100,4,8
A teacher who enjoys cooking.,50,5,1
A scientist who enjoys gaming.,50,3,6
A doctor who enjoys swimming.,25,10,3
A engineer who enjoys swimming.,100,10,2
A engineer who enjoys gaming.,50,3,2
A scientist who enjoys painting.,50,1,6
The teacher who enjoys cooking.,25,5,1
The nurse who enjoys cycling.,50,2,10
The chef who enjoys writing.,25,8,5
A doctor who enjoys painting.,100,1,3
A programmer who enjoys gardening.,100,9,8
A designer who enjoys hiking.,25,6,9
The doctor who enjoys swimming.,25,10,3
The nurse who enjoys gardening.,25,9,10
The nurse who enjoys hiking.,25,6,10
A artist who enjoys gaming.,50,3,4
The teacher who enjoys writing.,50,8,1
A chef who enjoys painting.,50,1,5
A nurse who enjoys painting.,50,1,10
A programmer who enjoys cooking.,100,5,8
The scientist who enjoys cooking.,25,5,6
The designer who enjoys hiking.,25,6,9
The chef who enjoys cooking.,50,5,5
The writer who enjoys gardening.,100,9,7
The programmer who enjoys reading.,50,4,8
A designer who enjoys hiking.,50,6,9
The chef who enjoys cycling.,50,2,5
A engineer who enjoys painting.,25,1,2
The scientist who enjoys gaming.,50,3,6
A chef who enjoys writing.,100,8,5
A designer who enjoys writing.,25,8,9
A teacher who enjoys cooking.,100,5,1
A designer who enjoys painting.,25,1,9
The chef who enjoys cooking.,100,5,5
The programmer who enjoys hiking.,50,6,8
The scientist who enjoys gaming.,50,3,6
The engineer who enjoys gaming.,100,3,2
The engineer who enjoys cooking.,25,5,2
A chef who enjoys writing.,50,8,5
The teacher who enjoys reading.,100,4,1
A engineer who enjoys reading.,100,4,2
The doctor who enjoys cooking.,50,5,3
The artist who enjoys cooking.,50,5,4
A doctor who enjoys photography.,25,7,3
The teacher who enjoys painting.,50,1,1
The chef who enjoys gaming.,50,3,5
A teacher who enjoys swimming.,100,10,1
A nurse who enjoys cooking.,100,5,10
The artist who enjoys gardening.,50,9,4
A chef who enjoys reading.,25,4,5
The writer who enjoys cycling.,100,2,7
The teacher who enjoys cycling.,25,2,1
A scientist who enjoys reading.,50,4,6
The engineer who enjoys cycling.,50,2,2
A engineer who enjoys cooking.,100,5,2
A teacher who enjoys cycling.,100,2,1
The chef who enjoys writing.,25,8,5
The teacher who enjoys writing.,50,8,1
A chef who enjoys hiking.,100,6,5
A scientist who enjoys gardening.,25,9,6
The doctor who enjoys swimming.,50,10,3
A doctor who enjoys writing.,100,8,3
The artist who enjoys hiking.,100,6,4
A artist who enjoys cooking.,50,5,4
The designer who enjoys cycling.,100,2,9
A nurse who enjoys reading.,50,4,10
The designer who enjoys gardening.,25,9,9
A scientist who enjoys hiking.,50,6,6
A programmer who enjoys gardening.,100,9,8
The programmer who enjoys photography.,100,7,8
The scientist who enjoys hiking.,25,6,6
The teacher who enjoys cooking.,100,5,1
The chef who enjoys painting.,50,1,5
The scientist who enjoys painting.,100,1,6
The teacher who enjoys cooking.,100,5,1
A artist who enjoys cooking.,100,5,4
The nurse who enjoys photography.,50,7,10
The teacher who enjoys gaming.,50,3,1
The engineer who enjoys painting.,100,1,2
The designer who enjoys swimming.,100,10,9
A engineer who enjoys cooking.,100,5,2
A chef who enjoys cycling.,50,2,5
A teacher who enjoys cooking.,100,5,1
The writer who enjoys photography.,100,7,7
The scientist who enjoys gardening.,100,9,6
The chef who enjoys cooking.,100,5,5
The doctor who enjoys gaming.,25,3,3
A artist who enjoys gardening.,100,9,4
The programmer who enjoys hiking.,25,6,8
The engineer who enjoys photography.,50,7,2
A chef who enjoys cooking.,25,5,5
The programmer who enjoys painting.,25,1,8
A artist who enjoys hiking.,25,6,4
A artist who enjoys cycling.,100,2,4
A teacher who enjoys reading.,100,4,1
The nurse who enjoys photography.,25,7,10
A scientist who enjoys hiking.,50,6,6
A scientist who enjoys swimming.,50,10,6
The artist who enjoys hiking.,25,6,4
The programmer who enjoys swimming.,25,10,8
The scientist who enjoys reading.,50,4,6
The designer who enjoys reading.,50,4,9
The artist who enjoys writing.,50,8,4
A doctor who enjoys cycling.,25,2,3
The teacher who enjoys photography.,25,7,1
The teacher who enjoys swimming.,100,10,1
A designer who enjoys cooking.,100,5,9
The chef who enjoys painting.,50,1,5
The doctor who enjoys swimming.,25,10,3
A chef who enjoys cycling.,100,2,5
The designer who enjoys hiking.,25,6,9
The designer who enjoys gardening.,100,9,9
A artist who enjoys hiking.,50,6,4
A chef who enjoys gardening.,100,9,5
A writer who enjoys swimming.,50,10,7
The chef who enjoys gardening.,50,9,5
A artist who enjoys gardening.,50,9,4
The teacher who enjoys painting.,100,1,1
The chef who enjoys painting.,50,1,5
A writer who enjoys cooking.,25,5,7
A nurse who enjoys photography.,25,7,10
The writer who enjoys hiking.,25,6,7
The designer who enjoys cycling.,100,2,9
A engineer who enjoys writing.,100,8,2
A writer who enjoys writing.,100,8,7
A artist who enjoys writing.,50,8,4
A teacher who enjoys painting.,100,1,1
The teacher who enjoys reading.,100,4,1
The artist who enjoys cycling.,25,2,4
A programmer who enjoys swimming.,25,10,8
The nurse who enjoys photography.,100,7,10
A designer who enjoys writing.,100,8,9
The designer who enjoys painting.,25,1,9
A chef who enjoys gaming.,50,3,5
The chef who enjoys painting.,50,1,5
A scientist who enjoys reading.,50,4,6
A engineer who enjoys photography.,100,7,2
A doctor who enjoys photography.,25,7,3
The doctor who enjoys swimming.,50,10,3
A scientist who enjoys cycling.,25,2,6
The doctor who enjoys photography.,50,7,3
The writer who enjoys hiking.,100,6,7
The teacher who enjoys swimming.,25,10,1
The designer who enjoys cycling.,50,2,9
A programmer who enjoys cycling.,100,2,8
The chef who enjoys cooking.,100,5,5
A programmer who enjoys gardening.,100,9,8
A engineer who enjoys hiking.,25,6,2
A programmer who enjoys painting.,100,1,8
A programmer who enjoys swimming.,100,10,8
A chef who enjoys cycling.,100,2,5
The teacher who enjoys cooking.,100,5,1
A writer who enjoys writing.,50,8,7
The artist who enjoys swimming.,50,10,4
The artist who enjoys cycling.,50,2,4
A programmer who enjoys cooking.,25,5,8
The writer who enjoys gaming.,50,3,7
The programmer who enjoys reading.,100,4,8
A designer who enjoys gardening.,25,9,9
The programmer who enjoys gaming.,100,3,8
A artist who enjoys cycling.,25,2,4
The engineer who enjoys hiking.,25,6,2
A writer who enjoys hiking.,100,6,7
The chef who enjoys hiking.,50,6,5
